date,item,quantity_sold,price,is_event_raw,is_weekend_raw,weather_raw,is_event,day_of_week,is_weekend,weather,month,season
2025-08-03,Apple,21,142,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-03,Banana,70,38,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-03,Mango,14,97,No,Yes,,0,6,1,Sunny,8,Rainy
2025-08-03,Orange,29,58,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-04,Apple,21,138,No,No,Sunny,0,0,0,Sunny,8,Rainy
2025-08-04,Banana,29,39,No,No,Sunny,0,0,0,Sunny,8,Rainy
2025-08-04,Grapes,19,80,No,No,Sunny,0,0,0,Sunny,8,Rainy
2025-08-04,Mango,29,96,No,No,,0,0,0,Sunny,8,Rainy
2025-08-05,Apple,19,146,No,No,Sunny,0,1,0,Sunny,8,Rainy
2025-08-05,Banana,30,40,Maybe,No,Sunny,0,1,0,Sunny,8,Rainy
2025-08-05,Grapes,15,76,No,No,Sunny,0,1,0,Sunny,8,Rainy
2025-08-05,Mango,18,104,No,No,Sunny,0,1,0,Sunny,8,Rainy
2025-08-05,Orange,52,59,No,No,Sunny,0,1,0,Sunny,8,Rainy
2025-08-06,Apple,17,140,No,No,Sunny,0,2,0,Sunny,8,Rainy
2025-08-06,Banana,32,40,No,No,Sunny,0,2,0,Sunny,8,Rainy
2025-08-06,Grapes,15,76,No,No,Sunny,0,2,0,Sunny,8,Rainy
2025-08-06,Mango,26,97,No,No,Sunny,0,2,0,Sunny,8,Rainy
2025-08-06,Orange,28,62,No,No,Sunny,0,2,0,Sunny,8,Rainy
2025-08-07,Apple,21,137,No,No,Cloudy,0,3,0,Cloudy,8,Rainy
2025-08-07,Banana,24,40,No,No,Cloudy,0,3,0,Cloudy,8,Rainy
2025-08-07,Grapes,19,76,No,No,Cloudy,0,3,0,Cloudy,8,Rainy
2025-08-07,Mango,18,103,No,No,Cloudy,0,3,0,Cloudy,8,Rainy
2025-08-07,Orange,22,61,No,No,Cloudy,0,3,0,Cloudy,8,Rainy
2025-08-08,Apple,22,134,No,No,Cloudy,0,4,0,Cloudy,8,Rainy
2025-08-08,Banana,25,39,No,No,Cloudy,0,4,0,Cloudy,8,Rainy
2025-08-08,Grapes,21,78,No,No,Cloudy,0,4,0,Cloudy,8,Rainy
2025-08-08,Mango,12,101,No,No,Cloudy,0,4,0,Cloudy,8,Rainy
2025-08-08,Orange,28,57,No,No,Cloudy,0,4,0,Cloudy,8,Rainy
2025-08-09,Apple,23,139,No,Yes,Cloudy,0,5,1,Cloudy,8,Rainy
2025-08-09,Banana,31,41,No,Yes,Cloudy,0,5,1,Cloudy,8,Rainy
2025-08-09,Grapes,24,80,No,Yes,Cloudy,0,5,1,Cloudy,8,Rainy
2025-08-09,Mango,16,99,No,Yes,Cloudy,0,5,1,Cloudy,8,Rainy
2025-08-09,Orange,27,60,No,Yes,Cloudy,0,5,1,Cloudy,8,Rainy
2025-08-10,Apple,22,140,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-10,Banana,33,41,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-10,Grapes,20,77,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-10,Mango,16,96,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
2025-08-10,Orange,24,61,No,Yes,Sunny,0,6,1,Sunny,8,Rainy
