Date,Item,Quantity_Sold(In Kg),Price/Kg(INR),Is_Event,Is_Weekend,Weather
2025-08-03,Apple,21.0,142.0,No,Yes,Sunny
2025-08-03,Banana,70.0,38.0,No,Yes,Sunny
2025-08-03,Orange,29.0,58.0,No,Yes,Sunny
2025-08-03,,,79.0,No,Yes,Sunny
2025-08-03,Mango,14.0,97.0,No,Yes,
2025-08-03,,,79.0,No,Yes,Sunny
2025-08-04,Mango,29.0,96.0,No,No,
2025-08-04,Grapes,19.0,80.0,No,No,Sunny
2025-08-04,Banana,29.0,39.0,No,No,Sunny
2025-08-04,Apple,,138.0,No,No,Sunny
2025-08-04,,28.0,60.0,No,No,Sunny
2025-08-05,Apple,19.0,146.0,No,No,Sunny
2025-08-05,Banana,30.0,40.0,Maybe,No,Sunny
2025-08-05,Orange,52.0,59.0,No,No,Sunny
2025-08-05,Grapes,15.0,76.0,No,No,Sunny
2025-08-05,Mango,18.0,104.0,No,No,Sunny
2025-08-05,Apple,19.0,146.0,No,No,Sunny
2025-08-06,Mango,26.0,97.0,No,No,Sunny
2025-08-06,Banana,32.0,40.0,No,No,Sunny
2025-08-06,Orange,28.0,62.0,No,No,Sunny
2025-08-06,Apple,17.0,140.0,No,No,Sunny
2025-08-06,Grapes,15.0,76.0,No,No,Sunny
2025-08-07,Apple,21.0,137.0,No,No,Cloudy
2025-08-07,Banana,24.0,,No,No,Cloudy
2025-08-07,Orange,22.0,61.0,No,No,Cloudy
2025-08-07,Grapes,19.0,76.0,No,No,Cloudy
2025-08-07,Mango,18.0,103.0,No,No,Cloudy
2025-08-08,Apple,22.0,134.0,No,No,Cloudy
2025-08-08,Banana,25.0,39.0,No,No,Cloudy
2025-08-08,Orange,28.0,57.0,No,No,Cloudy
2025-08-08,Grapes,21.0,78.0,No,No,Cloudy
2025-08-08,Mango,12.0,101.0,No,No,Cloudy
2025-08-09,Mango,16.0,99.0,No,Yes,Cloudy
2025-08-09,Orange,27.0,60.0,No,Yes,Cloudy
2025-08-09,Orange,27.0,60.0,No,Yes,Cloudy
2025-08-09,Apple,23.0,139.0,No,Yes,Cloudy
2025-08-09,Banana,31.0,41.0,No,Yes,Cloudy
2025-08-09,Grapes,24.0,80.0,No,Yes,Cloudy
2025-08-10,Grapes,20.0,77.0,No,Yes,Sunny
2025-08-10,Apple,22.0,140.0,No,Yes,Sunny
2025-08-10,Orange,24.0,61.0,No,Yes,Sunny
2025-08-10,Banana,33.0,41.0,No,Yes,Sunny
2025-08-10,Mango,16.0,96.0,No,Yes,Sunny
2025-08-11,Orange,10.0,58.0,No,No,Rain
2025-08-11,Grapes,10.0,82.0,No,No,Rain
2025-08-11,Mango,3.0,103.0,No,No,Rain
2025-08-11,Banana,12.0,41.0,No,No,Rain
2025-08-11,Apple,10.0,144.0,No,No,Rain
2025-08-12,Apple,20.0,138.0,No,No,Sunny
2025-08-12,Banana,23.0,41.0,No,No,Sunny
2025-08-12,Orange,27.0,58.0,No,No,Sunny
2025-08-12,Grapes,20.0,76.0,No,No,Sunny
2025-08-12,Mango,15.0,98.0,No,No,Sunny
2025-08-13,Apple,21.0,142.0,No,No,Sunny
2025-08-13,Grapes,18.0,78.0,No,No,Sunny
2025-08-13,Orange,20.0,58.0,No,No,Sunny
2025-08-13,Banana,31.0,41.0,No,No,
2025-08-13,Apple,21.0,142.0,No,No,Sunny
2025-08-13,Mango,15.0,95.0,Maybe,No,Sunny
2025-08-14,Banana,29.0,41.0,No,No,Sunny
2025-08-14,Orange,24.0,59.0,No,No,Sunny
2025-08-14,Grapes,21.0,83.0,No,No,Sunny
2025-08-14,Mango,12.0,102.0,No,No,Sunny
2025-08-14,Apple,28.0,136.0,No,No,Sunny
2025-08-15,Apple,6.0,143.0,No,No,Sunny
2025-08-15,Banana,27.0,40.0,No,No,Sunny
2025-08-15,Orange,23.0,60.0,No,No,Sunny
2025-08-15,Grapes,17.0,76.0,No,No,Sunny
2025-08-15,Mango,11.0,100.0,No,No,Sunny
2025-08-16,Grapes,19.0,78.0,No,Yes,Sunny
2025-08-16,Orange,28.0,57.0,No,Yes,Sunny
2025-08-16,Apple,23.0,135.0,No,Yes,Sunny
2025-08-16,Banana,,40.0,No,Yes,Sunny
2025-08-16,Mango,18.0,101.0,No,Yes,Sunny
2025-08-17,Apple,39.0,175.0,Yes,Yes,Cloudy
2025-08-17,Banana,66.0,48.0,Yes,Yes,Cloudy
2025-08-17,Grapes,41.0,98.0,Yes,Yes,Cloudy
2025-08-17,Orange,55.0,77.0,Yes,Yes,Cloudy
2025-08-17,Mango,34.0,123.0,Yes,Yes,Cloudy
2025-08-18,Apple,20.0,143.0,No,No,Cloudy
2025-08-18,Banana,30.0,40.0,No,No,Cloudy
2025-08-18,Orange,999.0,57.0,No,No,Cloudy
2025-08-18,Grapes,18.0,76.0,No,No,Cloudy
2025-08-18,Mango,11.0,101.0,No,No,Cloudy
2025-08-19,Apple,18.0,136.0,No,No,Sunny
2025-08-19,Banana,33.0,39.0,No,No,Sunny
2025-08-19,Orange,29.0,61.0,No,No,Sunny
2025-08-19,Grapes,20.0,81.0,No,No,Sunny
2025-08-19,Mango,15.0,100.0,No,No,Sunny
2025-08-20,Mango,16.0,99.0,No,No,Sunny
2025-08-20,Orange,25.0,60.0,No,No,Sunny
2025-08-20,Apple,18.0,136.0,No,No,Sunny
2025-08-20,Grapes,27.0,82.0,No,No,Sunny
2025-08-20,Banana,5.0,41.0,No,No,Sunny
2025-08-21,Apple,17.0,143.0,No,No,Sunny
2025-08-21,Banana,32.0,41.0,No,No,Sunny
2025-08-21,Orange,25.0,62.0,No,No,Sunny
2025-08-21,Grapes,21.0,76.0,No,No,Sunny
2025-08-21,Mango,17.0,104.0,No,No,Sunny
2025-08-22,Apple,7.0,144.0,No,No,Rain
2025-08-22,Banana,4.0,39.0,No,No,Rain
2025-08-22,Orange,8.0,58.0,No,No,Rain
2025-08-22,Grapes,9.0,77.0,No,No,Rain
2025-08-22,Mango,6.0,101.0,No,No,Rain
2025-08-23,,60.0,,Yes,Yes,Sunny
2025-08-23,Apple,92.0,169.0,Yes,Yes,Sunny
2025-08-23,Banana,65.0,51.0,Yes,Yes,Sunny
2025-08-23,Mango,36.0,122.0,Yes,Yes,Sunny
2025-08-23,Grapes,44.0,98.0,Yes,Yes,Sunny
2025-08-24,Apple,23.0,145.0,No,Yes,Cloudy
2025-08-24,Banana,37.0,40.0,No,Yes,Cloudy
2025-08-24,Orange,27.0,60.0,No,Yes,
2025-08-24,Grapes,20.0,81.0,No,Yes,
2025-08-24,,17.0,98.0,No,Yes,Cloudy
2025-08-25,Apple,999.0,134.0,No,No,Sunny
2025-08-25,Banana,31.0,39.0,No,No,Sunny
2025-08-25,Orange,28.0,60.0,No,No,Sunny
2025-08-25,Grapes,14.0,76.0,No,No,Sunny
2025-08-25,Mango,14.0,,No,No,Sunny
2025-08-26,Mango,21.0,101.0,No,No,
2025-08-26,Orange,22.0,57.0,No,No,Sunny
2025-08-26,Banana,33.0,41.0,No,No,Sunny
2025-08-26,Apple,24.0,140.0,No,No,Sunny
2025-08-26,Grapes,26.0,76.0,No,No,Sunny
2025-08-27,Apple,13.0,146.0,No,No,Cloudy
2025-08-27,Banana,30.0,41.0,No,No,Cloudy
2025-08-27,Grapes,17.0,76.0,No,No,Cloudy
2025-08-27,Orange,22.0,58.0,No,No,Cloudy
2025-08-27,Mango,31.0,104.0,No,No,Cloudy
2025-08-28,Apple,23.0,135.0,No,No,Sunny
2025-08-28,Banana,63.0,38.0,No,No,Sunny
2025-08-28,Orange,21.0,61.0,No,No,Sunny
2025-08-28,Grapes,20.0,81.0,No,No,Sunny
2025-08-28,Mango,20.0,101.0,No,No,Sunny
2025-08-29,Apple,24.0,136.0,No,No,Sunny
2025-08-29,Banana,29.0,38.0,No,No,Sunny
2025-08-29,Orange,27.0,57.0,No,No,Storm
2025-08-29,Grapes,21.0,79.0,No,No,Sunny
2025-08-29,Mango,6.0,95.0,No,No,Sunny
2025-08-30,Mango,24.0,103.0,No,Yes,Sunny
2025-08-30,Orange,32.0,57.0,No,Yes,Sunny
2025-08-30,Apple,20.0,139.0,No,Yes,Sunny
2025-08-30,Grapes,20.0,78.0,No,Yes,Sunny
2025-08-30,Banana,39.0,39.0,No,Yes,Sunny
2025-08-31,Apple,23.0,135.0,No,Yes,Sunny
2025-08-31,Banana,32.0,38.0,No,Yes,Sunny
2025-08-31,Orange,29.0,60.0,No,Yes,Sunny
2025-08-31,Grapes,22.0,79.0,No,Yes,Sunny
2025-08-31,Mango,23.0,101.0,No,Yes,Sunny
2025-09-01,Apple,2.0,138.0,No,No,Rain
2025-09-01,Banana,10.0,41.0,No,No,Rain
2025-09-01,Orange,10.0,58.0,No,No,Rain
2025-09-01,Grapes,5.0,82.0,No,No,Rain
2025-09-01,Mango,4.0,101.0,No,No,Rain
2025-09-02,Mango,19.0,99.0,No,No,Sunny
2025-09-02,Apple,4.0,145.0,No,No,Sunny
2025-09-02,Banana,33.0,39.0,No,No,Sunny
2025-09-02,Orange,28.0,58.0,No,No,Sunny
2025-09-02,Grapes,20.0,83.0,No,No,Sunny
2025-09-03,Apple,19.0,146.0,No,No,Sunny
2025-09-03,Banana,36.0,41.0,No,No,Sunny
2025-09-03,Orange,24.0,61.0,No,No,Sunny
2025-09-03,Grapes,18.0,76.0,No,No,Sunny
2025-09-03,Mango,18.0,103.0,No,No,Sunny
2025-09-04,Orange,23.0,60.0,No,No,Sunny
2025-09-04,,21.0,145.0,No,No,Sunny
2025-09-04,Banana,31.0,41.0,No,No,Sunny
2025-09-04,Mango,19.0,98.0,No,No,Sunny
2025-09-04,Grapes,25.0,78.0,No,No,Sunny
2025-09-05,Apple,22.0,144.0,No,No,Cloudy
2025-09-05,Banana,27.0,38.0,No,No,Cloudy
2025-09-05,Orange,24.0,60.0,No,No,Cloudy
2025-09-05,Grapes,17.0,79.0,No,No,Cloudy
2025-09-05,Mango,17.0,96.0,No,No,Cloudy
2025-09-06,Apple,20.0,143.0,No,Yes,Sunny
2025-09-06,Banana,35.0,38.0,No,Yes,Sunny
2025-09-06,Orange,27.0,61.0,No,Yes,Sunny
2025-09-06,Grapes,21.0,76.0,No,Yes,Sunny
2025-09-06,Mango,12.0,104.0,No,Yes,Sunny
2025-09-07,Mango,21.0,104.0,No,Yes,Cloudy
2025-09-07,Apple,17.0,146.0,No,Yes,Cloudy
2025-09-07,Banana,31.0,41.0,No,Yes,Cloudy
2025-09-07,Grapes,13.0,82.0,No,Yes,Cloudy
2025-09-07,Orange,31.0,57.0,No,Yes,Cloudy
2025-09-08,Apple,20.0,139.0,No,No,Sunny
2025-09-08,Mango,15.0,,No,No,Sunny
2025-09-08,Banana,999.0,38.0,No,No,Sunny
2025-09-08,Grapes,16.0,81.0,No,No,Sunny
2025-09-08,Orange,3.0,57.0,No,No,Sunny
2025-09-09,Banana,,38.0,No,No,Sunny
2025-09-09,Orange,29.0,62.0,No,No,Sunny
2025-09-09,Grapes,20.0,76.0,No,No,Sunny
2025-09-09,Mango,15.0,100.0,No,No,Sunny
2025-09-09,Apple,22.0,,No,No,Sunny
2025-09-10,Banana,29.0,40.0,No,No,Sunny
2025-09-10,Orange,32.0,62.0,No,No,
2025-09-10,Grapes,16.0,78.0,No,No,Sunny
2025-09-10,Banana,29.0,40.0,No,No,Sunny
2025-09-10,Apple,27.0,142.0,No,No,Sunny
2025-09-10,Mango,9.0,96.0,No,No,Sunny
2025-09-11,Banana,25.0,41.0,No,No,Sunny
2025-09-11,Orange,27.0,61.0,No,No,Sunny
2025-09-11,Grapes,4.0,81.0,No,No,Sunny
2025-09-11,Mango,20.0,99.0,No,No,Sunny
2025-09-11,Apple,19.0,134.0,No,No,Sunny
2025-09-12,Orange,4.0,57.0,No,No,Rain
2025-09-12,Grapes,11.0,83.0,No,No,Rain
2025-09-12,Orange,4.0,57.0,No,No,Rain
2025-09-12,Banana,10.0,41.0,No,No,
2025-09-12,Apple,11.0,145.0,No,No,Rain
2025-09-12,Mango,5.0,103.0,No,No,Rain
2025-09-13,Banana,35.0,38.0,No,Yes,Sunny
2025-09-13,Banana,35.0,38.0,No,Yes,Sunny
2025-09-13,Apple,26.0,136.0,No,Yes,Sunny
2025-09-13,Mango,2.0,104.0,No,Yes,Sunny
2025-09-13,Grapes,25.0,83.0,No,Yes,Sunny
2025-09-13,Orange,29.0,62.0,No,Yes,Sunny
2025-09-14,Mango,17.0,98.0,No,Yes,Cloudy
2025-09-14,Apple,18.0,136.0,No,Yes,Cloudy
2025-09-14,Orange,29.0,60.0,No,Yes,Cloudy
2025-09-14,Banana,32.0,41.0,No,Yes,Cloudy
2025-09-14,Grapes,16.0,80.0,No,Yes,Cloudy
2025-09-15,Grapes,15.0,83.0,No,No,Sunny
2025-09-15,Orange,29.0,,No,No,Sunny
2025-09-15,Banana,32.0,40.0,No,No,Sunny
2025-09-15,Apple,0.0,143.0,No,No,Sunny
2025-09-15,Mango,14.0,95.0,No,No,Sunny
2025-09-16,Orange,28.0,57.0,No,No,Cloudy
2025-09-16,Apple,17.0,141.0,No,No,Cloudy
2025-09-16,Banana,32.0,38.0,No,No,Cloudy
2025-09-16,Mango,14.0,99.0,No,No,Cloudy
2025-09-16,Grapes,12.0,79.0,No,No,Cloudy
2025-09-17,Grapes,18.0,77.0,No,No,Sunny
2025-09-17,Orange,27.0,62.0,No,No,Sunny
2025-09-17,Banana,34.0,39.0,No,No,Sunny
2025-09-17,Apple,23.0,143.0,No,No,Sunny
2025-09-17,Mango,18.0,97.0,No,No,Sunny
2025-09-18,Apple,14.0,146.0,No,No,Sunny
2025-09-18,Orange,27.0,58.0,No,No,Sunny
2025-09-18,Grapes,,77.0,No,No,Sunny
2025-09-18,Mango,15.0,98.0,No,No,Sunny
2025-09-18,Banana,31.0,40.0,No,No,Sunny
2025-09-19,Orange,24.0,57.0,No,No,Sunny
2025-09-19,Apple,23.0,135.0,No,No,Sunny
2025-09-19,Banana,,38.0,No,No,Sunny
2025-09-19,Grapes,14.0,76.0,No,No,Sunny
2025-09-19,Mango,15.0,,No,No,Sunny
2025-09-20,Grapes,20.0,82.0,No,Yes,Sunny
2025-09-20,Apple,21.0,142.0,No,Yes,Sunny
2025-09-20,Orange,,62.0,No,Yes,Sunny
2025-09-20,Banana,35.0,41.0,No,Yes,Sunny
2025-09-20,Mango,15.0,102.0,No,Yes,Sunny
2025-09-21,Mango,14.0,103.0,No,Yes,Sunny
2025-09-21,Grapes,23.0,76.0,No,Yes,Sunny
2025-09-21,Orange,22.0,61.0,No,Yes,Sunny
2025-09-21,Banana,32.0,40.0,No,Yes,Sunny
2025-09-21,Apple,21.0,139.0,No,Yes,Sunny
2025-09-22,Banana,28.0,40.0,No,No,Sunny
2025-09-22,Grapes,14.0,76.0,No,No,Sunny
2025-09-22,Mango,0.0,98.0,No,No,Sunny
2025-09-22,Apple,20.0,,No,No,Sunny
2025-09-22,Orange,23.0,58.0,No,No,Sunny
2025-09-23,Grapes,44.0,96.0,Yes,No,Sunny
2025-09-23,Apple,0.0,180.0,Yes,No,Sunny
2025-09-23,Banana,66.0,50.0,Yes,No,Sunny
2025-09-23,Orange,54.0,74.0,Yes,No,Sunny
2025-09-23,Mango,34.0,127.0,Yes,No,Sunny
2025-09-24,Grapes,20.0,76.0,No,No,Sunny
2025-09-24,Apple,18.0,134.0,No,No,Sunny
2025-09-24,Banana,27.0,40.0,No,No,Storm
2025-09-24,Orange,22.0,60.0,No,No,Sunny
2025-09-24,Mango,13.0,96.0,No,No,Sunny
2025-09-25,Orange,4.0,62.0,No,No,
2025-09-25,Banana,23.0,38.0,No,No,Sunny
2025-09-25,Mango,31.0,103.0,No,No,Sunny
2025-09-25,Apple,19.0,136.0,No,No,
2025-09-25,Grapes,20.0,76.0,No,No,Sunny
2025-09-26,Banana,27.0,41.0,No,No,Cloudy
2025-09-26,Apple,21.0,136.0,No,No,Cloudy
2025-09-26,Mango,12.0,96.0,No,No,Cloudy
2025-09-26,Grapes,19.0,82.0,No,No,Cloudy
2025-09-26,Orange,19.0,60.0,No,No,Cloudy
2025-09-27,Mango,12.0,95.0,No,Yes,Sunny
2025-09-27,Orange,31.0,60.0,No,Yes,Sunny
2025-09-27,Banana,30.0,38.0,No,Yes,Sunny
